Adapter Culture,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,39.29844311319417,50.70351955487887,23.448554612157064,36.948388696520276,56.34428828644472,36.771723367691116,57.58726921257013,50.02385466228976,39.999215118490376,53.23327392845224
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",37.834371316949735,57.3586590319363,24.419925109765146,38.24408579617005,58.237228268301486,37.4007193126242,57.547356538706296,51.02895418062886,43.788834264655776,55.98079653486913
bengali,43.642436483460514,59.23813048050294,24.37037655229666,41.65576948984218,57.03646350541112,40.33768663092968,60.43638389707424,58.15783265834589,47.298548510512575,56.31797626109979
chinese,48.82409170633242,55.76612472033887,25.783188679473678,36.931430462958126,54.34308940941322,45.38994324551005,51.675127818500975,55.54890039908227,43.12355087315476,55.112080539904454
english,48.3437389885882,53.200041271597,25.069006777288127,35.964481646165645,59.24631926399716,45.545519431412416,53.071253159319596,57.299726222977085,46.3523274319582,56.00993558467701
german,35.17309377666371,53.77751207890598,22.831345315220673,40.38858847749975,57.851963073668855,38.80493830355921,60.689958471560686,52.818972177281665,45.76304424373459,44.398472596382845
greek,44.27992328295696,56.51000712917364,24.220393234081385,40.36708310925931,60.953609513798,48.024181450474046,55.02397390733032,56.6738051448412,46.61180626864378,56.24741793619956
korean,49.573142336061984,53.58926534262611,24.420278444208492,35.94454182557347,59.15248509055172,44.73910961945548,53.79326884660812,54.49818445165878,44.722504294903835,56.86519525879551
portuguese,40.87582954755166,54.55135490799581,24.188989728141202,37.55667992104263,58.432710345396956,49.06899589166988,54.788832901077065,51.76745166191814,40.677383489968115,56.018721115149816
spanish,32.71752399475509,56.87024172092282,23.406777500503985,45.323144232895466,55.73307267559191,38.155611523418116,62.38520253464769,53.597959237832626,51.314210952302645,50.21878463748505
turkish,41.221927278380186,58.11646735417819,23.50168167281341,40.94509481478778,59.321795767558484,35.817058833940685,65.55206029283241,54.27559175507517,44.689029052965864,57.47232728598933
