Adapter Culture,Test Culture,F1 Score
arabic,arabic,0.14752845061051964
arabic,bengali,0.283006133227581
arabic,chinese,0.1586843636458676
arabic,english,0.31093775278204316
arabic,german,0.4707419805187219
arabic,greek,0.44573865987535793
arabic,korean,0.49918329342915707
arabic,portuguese,0.27750160921587785
arabic,spanish,0.25800692261116387
arabic,turkish,0.3916776430009408
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",arabic,0.22778052726528655
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",bengali,0.39318244483343207
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",chinese,0.20884842250051244
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",english,0.35210496519087403
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",german,0.5634706583940516
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",greek,0.46108015242116696
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",korean,0.6159167675779575
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",portuguese,0.37642494039906865
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",spanish,0.3190320523417018
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",turkish,0.5093564367330944
bengali,arabic,0.15875061452127184
bengali,bengali,0.27569906684448325
bengali,chinese,0.20962847253968014
bengali,english,0.2778148281014506
bengali,german,0.3910643173812135
bengali,greek,0.38923012295052734
bengali,korean,0.4518977504927637
bengali,portuguese,0.23327581125909086
bengali,spanish,0.25314598442132125
bengali,turkish,0.36602766328425307
chinese,arabic,0.31909821082717843
chinese,bengali,0.44499371691733297
chinese,chinese,0.21948275832469816
chinese,english,0.32882447666365683
chinese,german,0.6617266457561721
chinese,greek,0.47265107815971846
chinese,korean,0.6650276873093303
chinese,portuguese,0.33591908226334627
chinese,spanish,0.3395179590082064
chinese,turkish,0.6273303326286729
english,arabic,0.25427785652374607
english,bengali,0.38950536229005245
english,chinese,0.21192667023053763
english,english,0.32917104310448847
english,german,0.6062760186292218
english,greek,0.49886397573770846
english,korean,0.5910993106100133
english,portuguese,0.30307418744649683
english,spanish,0.3021250331247968
english,turkish,0.5344625322663773
german,arabic,0.22277677113557562
german,bengali,0.41035071351078267
german,chinese,0.21116752304053504
german,english,0.39107996062874456
german,german,0.5168835544852354
german,greek,0.48013202012550327
german,korean,0.6151311143198465
german,portuguese,0.4474950953510438
german,spanish,0.34322070675574734
german,turkish,0.5185646734333487
greek,arabic,0.22878158535776075
greek,bengali,0.4356796057882582
greek,chinese,0.21039886815839848
greek,english,0.3883156029056951
greek,german,0.5884333150040314
greek,greek,0.4865889850741788
greek,korean,0.664501635781854
greek,portuguese,0.43705276690308936
greek,spanish,0.35179884480033563
greek,turkish,0.5993157452977523
korean,arabic,0.18370775340105636
korean,bengali,0.353550142363057
korean,chinese,0.2060700595383737
korean,english,0.3158534207922821
korean,german,0.5620013785792036
korean,greek,0.47662142660204626
korean,korean,0.5822454625604767
korean,portuguese,0.2729486610413182
korean,spanish,0.28631420232648064
korean,turkish,0.5086560216088969
portuguese,arabic,0.20518421634928216
portuguese,bengali,0.3207748746475211
portuguese,chinese,0.20759567763555353
portuguese,english,0.3186011725516844
portuguese,german,0.5595996966968287
portuguese,greek,0.480358230896623
portuguese,korean,0.5179967639863735
portuguese,portuguese,0.32510018439455346
portuguese,spanish,0.2888598621440075
portuguese,turkish,0.4659166578671195
spanish,arabic,0.23000747314666378
spanish,bengali,0.3627152179667117
spanish,chinese,0.20963866063968317
spanish,english,0.36199635986234546
spanish,german,0.4990637898649923
spanish,greek,0.529838260390243
spanish,korean,0.5526190562816813
spanish,portuguese,0.39293572334772864
spanish,spanish,0.3228037538660365
spanish,turkish,0.4921257171715289
turkish,arabic,0.17623529064104396
turkish,bengali,0.36504524165700447
turkish,chinese,0.20811257434925262
turkish,english,0.3523920407281291
turkish,german,0.5118447600022037
turkish,greek,0.5064022775643959
turkish,korean,0.5853283735106156
turkish,portuguese,0.33011105271654945
turkish,spanish,0.2929680805190392
turkish,turkish,0.519366694849305
