Adapter Culture,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,24.795741888250134,26.100879599616793,23.27603237464868,35.086646332682186,37.984784353598066,36.00389058815435,37.463234709962556,26.235610158601386,24.856120812994334,31.110875745283007
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",36.09998245253552,40.04105989669781,20.493617819080796,33.10493535135225,43.503192401542854,21.387277898858557,37.46117811906047,32.625022791722515,33.511293426654795,38.16380761169015
bengali,11.6148196744563,29.021686976573065,19.620017322295407,34.65887450494068,28.717058629390024,35.99120734702817,32.134149408240155,30.203493091914176,28.507842298451575,22.869940908909594
chinese,34.160344727265354,48.83010257612098,26.854177007804203,41.348982536528226,56.12136945537433,41.36438591705562,53.33954156538822,43.700376112556604,39.70702643728695,52.318681272390066
english,26.26720602472133,46.8106682580602,23.757143316860898,39.89863776468176,48.24743982576331,40.79185174675718,45.21339041144822,51.74926030127758,50.360008055535786,50.374625909268836
german,17.900984338744895,50.648876200214424,19.727336725217338,38.87622591177484,41.85308953446925,46.56345940717355,50.96865467182609,44.57184291539445,34.79341650250413,44.20480761585037
greek,33.972701209047095,45.36777264586576,30.743319230699605,40.98556327574472,50.64697129726346,29.109707948083535,44.177895221245535,42.76133919303174,36.95017752815641,44.85960405976538
korean,39.48029899859457,44.03506589697114,21.67901096023641,34.384362088060335,41.11331832763604,40.475466599896734,45.59166954063017,27.083488174371478,31.783878379033958,49.79725971219638
portuguese,33.8853868985913,41.531635549277304,21.240153399668323,34.96941819737416,54.72565647468759,50.28198345458317,60.38857192611542,31.82160275529077,32.08014001310453,51.07744346127016
spanish,14.310391884906833,38.816140242188894,19.597236639221176,36.94672863876947,41.63073719672948,36.22515567291792,44.50843953930869,27.927708124267554,32.37287283854252,29.375020744949527
turkish,23.902781088336745,35.08028879661747,20.506864460043765,33.37975855922479,43.84551036652489,46.93975452754145,44.386504412895015,31.832313277690815,36.03944140838367,27.299513382622877
