Adapter Culture,Test Culture,F1 Score
arabic,arabic,0.39237417610320174
arabic,bengali,0.5763592743555459
arabic,chinese,0.23754893383879888
arabic,english,0.42622504503734476
arabic,german,0.6171474753414444
arabic,greek,0.3675887219430922
arabic,korean,0.593151655397842
arabic,portuguese,0.5755025695695198
arabic,spanish,0.4805294930316451
arabic,turkish,0.562499614901192
bengali,arabic,0.41754711947852535
bengali,bengali,0.5947122531932764
bengali,chinese,0.238816849450874
bengali,english,0.4374628169520247
bengali,german,0.5620747765285612
bengali,greek,0.4077080503270829
bengali,korean,0.5701735024351633
bengali,portuguese,0.5683917757322565
bengali,spanish,0.4721203188346835
bengali,turkish,0.5538293000414284
chinese,arabic,0.5013914096239042
chinese,bengali,0.549903423001974
chinese,chinese,0.24639350784270053
chinese,english,0.3796364846263671
chinese,german,0.5654293877125844
chinese,greek,0.4579697572041417
chinese,korean,0.5070983786988571
chinese,portuguese,0.5715529766287792
chinese,spanish,0.45572963807087413
chinese,turkish,0.5673065111655179
english,arabic,0.44346363380690246
english,bengali,0.5754992238660773
english,chinese,0.2446978525834299
english,english,0.4096442655792913
english,german,0.6065572966716204
english,greek,0.3945238668800293
english,korean,0.5694482293108356
english,portuguese,0.589033389151304
english,spanish,0.5000248114225866
english,turkish,0.570825913045532
german,arabic,0.39776023233105
german,bengali,0.5555560255402212
german,chinese,0.2331159003966421
german,english,0.40016579274140035
german,german,0.5925481186722457
german,greek,0.37827705902156405
german,korean,0.6113640541555574
german,portuguese,0.547716626254876
german,spanish,0.489059035314316
german,turkish,0.5066646727740604
greek,arabic,0.4360160500196501
greek,bengali,0.5665590535996868
greek,chinese,0.2409825322467991
greek,english,0.4044894938662656
greek,german,0.6055362639121054
greek,greek,0.38140279070369165
greek,korean,0.5894148283225479
greek,portuguese,0.5549432933927906
greek,spanish,0.4444037922108473
greek,turkish,0.5697975508982396
korean,arabic,0.472760852827081
korean,bengali,0.5354633125355217
korean,chinese,0.24339267721615332
korean,english,0.33203506704693686
korean,german,0.5977025087512038
korean,greek,0.47464797392283165
korean,korean,0.5373912887575465
korean,portuguese,0.5367232760305287
korean,spanish,0.4122588548688141
korean,turkish,0.5826136153806886
portuguese,arabic,0.4140325452382267
portuguese,bengali,0.4883084704590555
portuguese,chinese,0.2448299208968594
portuguese,english,0.3282018087864637
portuguese,german,0.5812137888440171
portuguese,greek,0.4748969831935551
portuguese,korean,0.5434013833863182
portuguese,portuguese,0.40738532140921463
portuguese,spanish,0.31831430662197363
portuguese,turkish,0.5471525419148782
spanish,arabic,0.34249990077393444
spanish,bengali,0.5435035522658727
spanish,chinese,0.2312035864816942
spanish,english,0.4220809300301515
spanish,german,0.5790735248407283
spanish,greek,0.3819953142566319
spanish,korean,0.6078118231618624
spanish,portuguese,0.5028067213142862
spanish,spanish,0.4640143529854192
spanish,turkish,0.491868956796858
turkish,arabic,0.41171097188945377
turkish,bengali,0.549403121410753
turkish,chinese,0.23788594690841958
turkish,english,0.39233455846443394
turkish,german,0.5965127870277824
turkish,greek,0.47428177456635445
turkish,korean,0.5428232071624525
turkish,portuguese,0.5704780152736874
turkish,spanish,0.43754480185682093
turkish,turkish,0.5740429343161112
