Adapter Culture,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,40.53445537450794,42.51759754457223,19.704362801377727,33.43106176085154,51.95363476904584,48.05128649038496,57.794345346176634,30.668626706001632,30.913763205800254,51.91669579791358
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",27.125003079839345,48.954039214816085,20.797595038626294,39.69406175689507,52.554533457438204,45.561792353642225,60.62834825636473,39.36883711618178,35.98295648751419,50.30087003530196
bengali,18.55070764963312,42.141718348612464,20.36699425532925,35.57024936120807,32.47489696034644,35.99120734702817,43.19460259112839,35.61531362116409,30.87173569472212,23.69283332042858
chinese,35.90139455792251,41.428251156439394,20.53489935566826,31.864109119254554,36.468984683392534,23.262260802321062,37.14413793169129,22.417191486031488,25.931599741516948,41.96700939025186
english,37.59258346372329,42.48323529060578,20.53489935566826,32.716968355917956,37.92876854463351,27.838798724266127,37.75034024461316,36.80744126845858,31.73395092381819,42.84816195632772
german,30.570462556361623,34.14505908288448,22.19699001925092,38.385872791557524,50.10407092440998,36.11182802115774,56.60763300261601,29.00890933545449,27.69011300147241,40.16023003605303
greek,43.77253321665881,44.74824112510223,22.319072652929684,39.69002481915451,53.89337828838035,43.68229363678393,55.01447680540564,39.53668796502371,33.27131656195446,54.82702699537841
korean,36.69379548670024,29.240342433640865,22.85601625042755,23.5267290381556,50.46171606742178,32.63074365454228,43.15793485311024,19.982105063786364,28.328625208284734,48.66175122794508
portuguese,50.91733765777725,42.72302779457639,22.108059861001106,39.99734653289335,46.50181690021814,39.81931391826546,46.73737565550018,40.79147899221708,37.246359741866115,57.90246154205716
spanish,43.95965283493041,43.31905627515138,27.405201468509112,35.37080192068298,51.71594840545948,31.514232865165724,43.942706902202026,31.289779929450123,38.76884406962868,49.71091179579471
turkish,27.937891018185674,44.28040643938323,20.018233174608586,38.77474420058113,53.675344273456126,39.71406038902341,58.44615179730711,41.09979922590806,34.003716564046115,56.99984465602505
