Adapter Culture,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,15.541282334705189,34.14424316140834,19.940910604286444,34.99871704583564,46.73307849393285,37.76613340789001,56.80362672111019,39.27614444480646,26.810739029026536,50.091858245396125
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",21.341031117306116,38.02509177450466,21.065531144066345,33.581224110671045,52.421883511558946,36.237362263977765,60.06739903997356,33.15309989430603,28.162557601537607,47.47052047351599
bengali,30.754191282063502,43.945634158108795,24.016465912556693,35.50423521917595,53.258313088296816,43.10901968771236,62.25141476183024,40.857761141456066,38.184918486648414,60.47246395165128
chinese,43.143899015508474,44.36123256721869,24.10412261813339,32.1355459495386,59.519796150555514,41.51016500636099,59.473705751061914,41.647410719736556,36.11777281984633,63.18324226085613
english,33.942705918892244,35.04585123494608,22.441879100606037,33.91657600831079,52.47359049197765,48.100718140129146,59.732593387073095,30.927734770874494,30.87905177953636,51.856548096137324
german,15.480285409479691,32.32494924560644,21.065531144066345,33.7589776904909,41.01327479802037,36.52478075089896,49.6603679596787,32.10880866295705,24.83306783681528,44.947366943995156
greek,26.263113570893974,48.0323783398893,21.09115228358032,40.9249760306203,60.67627691483798,49.09322118441645,67.77018640919206,47.728387926503544,38.64670784079934,63.15211099245237
korean,35.531529332522254,41.468534402667075,23.907553828405753,30.788800533622958,65.29531442170129,49.79117372669232,61.01478646249857,34.673764583057,33.05285734861885,61.35261823024255
portuguese,13.208652052850459,24.97939666780012,20.047169391559617,37.06403529161068,33.97920421335985,36.02921879100691,36.75722888377771,37.663170436900934,26.94430273354583,33.054033240540406
spanish,17.319529877843244,48.06380915416715,20.23472227241517,40.06381009604967,58.14944545568568,44.78474166382037,63.08930271039506,50.18090501650549,37.14516543011186,59.49240214553172
turkish,12.753705134586257,28.74830545008043,19.727336725217338,31.794777852035676,47.93041222010403,47.93315783804724,55.17187314219431,25.109736815637117,24.38211780059831,48.805268970144056
