Adapter Culture,arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish
arabic,11.42576947684026,43.675429471497274,19.620017322295407,34.73119383221086,27.981897078209272,35.99120734702817,39.3045433050391,40.6152203448057,40.57767906277748,25.09980066946646
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",35.90139455792251,34.97589333440402,20.426507958939112,23.510768207838105,38.94305640831942,25.445844319147504,39.0558402088191,30.978892005373265,27.33109542387669,43.41324261331067
bengali,19.002869516617984,49.62037641144044,20.631980126797355,33.471281246977426,39.031964151177725,35.80554308575111,47.70107838190643,50.65387525763152,45.28048990493469,35.937137101612855
chinese,36.91376611823927,49.84280289889347,20.336492796417726,31.82813935806737,41.48630128100269,41.92607777954412,45.635359372094065,42.43583394576074,45.786735975554066,53.547030462586676
english,38.92556746486225,28.461091090336993,27.67503656977083,21.974391255831925,43.93904011642668,22.10830126145468,40.51497905833406,18.411390741607175,24.272710438371075,41.328750207606646
german,29.86562118536859,26.70292479141358,22.713551133162007,24.79428638779713,30.28525177611702,35.760703786388454,40.492729729777864,18.29513269034086,22.17802451703654,32.448780309711694
greek,37.58858607681279,47.07692706832427,23.15083263566201,35.823965824532294,42.711789439682164,34.87067918754254,41.56100512819703,44.0521918939935,44.346177616271895,48.5408505368465
korean,38.72483423120251,51.33960961195507,25.13373178543897,32.07737702647034,42.544212897009984,31.264514904942587,48.62429907488365,34.34327726310731,37.57123717838299,49.51305219826714
portuguese,23.410029208160857,53.409513031834976,20.759567763555353,43.76590650609351,42.2471665960945,35.87655409676418,44.63436555774852,52.273147775516726,47.80080037434015,44.513695676934454
spanish,12.511418382708506,36.42500724035189,19.620017322295407,26.06067225047885,34.8054165174832,38.964601138348556,38.94570661505223,22.817344925155236,25.70597013122314,28.2675324622656
turkish,41.46729364223816,43.99717771310676,29.275877866865095,31.724740938241247,42.41060932328837,26.531947658025246,47.74445405368446,25.12876000731258,36.425399208919046,44.92204582100264
